iter	Passed	Remaining
764	3652	1121
765	3656	1116
766	3661	1112
767	3665	1107
768	3670	1102
769	3676	1098
770	3681	1093
771	3686	1088
772	3693	1084
773	3698	1079
774	3702	1074
775	3708	1070
776	3712	1065
777	3716	1060
778	3721	1055
779	3726	1050
780	3730	1046
781	3735	1041
782	3739	1036
783	3744	1031
784	3748	1026
785	3752	1021
786	3757	1016
787	3761	1012
788	3765	1007
789	3771	1002
790	3775	997
791	3779	992
792	3783	987
793	3788	982
794	3793	978
795	3797	973
796	3801	968
797	3806	963
798	3810	958
799	3815	953
800	3819	949
801	3824	944
802	3828	939
803	3833	934
804	3837	929
805	3841	924
806	3845	919
807	3850	914
808	3854	910
809	3858	905
810	3862	900
811	3866	895
812	3871	890
813	3875	885
814	3880	880
815	3885	876
816	3889	871
817	3893	866
818	3897	861
819	3902	856
820	3906	851
821	3910	846
822	3915	842
823	3919	837
824	3923	832
825	3929	827
826	3933	822
827	3938	818
828	3942	813
829	3947	808
830	3953	803
831	3957	799
832	3962	794
833	3967	789
834	3971	784
835	3976	780
836	3980	775
837	3985	770
838	3989	765
839	3994	760
840	3998	756
841	4003	751
842	4008	746
843	4012	741
844	4016	736
845	4022	732
846	4026	727
847	4030	722
848	4035	717
849	4040	713
850	4045	708
851	4050	703
852	4055	698
853	4059	694
854	4064	689
855	4069	684
856	4073	679
857	4077	674
858	4082	670
859	4087	665
860	4093	660
861	4098	656
862	4103	651
863	4107	646
864	4112	641
865	4116	637
866	4121	632
867	4125	627
868	4130	622
869	4136	618
870	4141	613
871	4145	608
872	4151	603
873	4156	599
874	4160	594
875	4166	589
876	4170	584
877	4175	580
878	4180	575
879	4189	571
880	4193	566
881	4198	561
882	4203	556
883	4207	552
884	4212	547
885	4216	542
886	4220	537
887	4225	532
888	4229	528
889	4233	523
890	4237	518
891	4241	513
892	4245	508
893	4250	503
894	4254	499
895	4258	494
896	4263	489
897	4267	484
898	4271	479
899	4275	475
900	4280	470
901	4284	465
902	4288	460
903	4293	455
904	4297	451
905	4301	446
906	4306	441
907	4310	436
908	4314	431
909	4318	427
910	4322	422
911	4327	417
912	4330	412
913	4335	407
914	4339	403
915	4343	398
916	4347	393
917	4351	388
918	4357	384
919	4361	379
920	4366	374
921	4372	369
922	4377	365
923	4381	360
924	4386	355
925	4391	350
926	4396	346
927	4401	341
928	4407	336
929	4411	332
930	4417	327
931	4421	322
932	4425	317
933	4430	313
934	4434	308
935	4439	303
936	4443	298
937	4449	294
938	4454	289
939	4458	284
940	4463	279
941	4467	275
942	4471	270
943	4476	265
944	4480	260
945	4485	256
946	4489	251
947	4494	246
948	4498	241
949	4503	237
950	4507	232
951	4511	227
952	4515	222
953	4519	217
954	4524	213
955	4528	208
956	4532	203
957	4536	198
958	4541	194
959	4545	189
960	4549	184
961	4553	179
962	4558	175
963	4562	170
964	4567	165
965	4571	160
966	4575	156
967	4579	151
968	4583	146
969	4588	141
970	4592	137
971	4597	132
972	4601	127
973	4606	122
974	4610	118
975	4614	113
976	4619	108
977	4624	104
978	4628	99
979	4632	94
980	4636	89
981	4640	85
982	4645	80
983	4648	75
984	4653	70
985	4657	66
986	4661	61
987	4665	56
988	4670	51
989	4674	47
990	4678	42
991	4683	37
992	4687	33
993	4692	28
994	4696	23
995	4700	18
996	4705	14
997	4710	9
998	4714	4
999	4719	0
